Method Name,Description
java.io.PushbackInputStream.unread,Pushes back an array of bytes by copying it to the front of the  pushback buffer.
java.io.PushbackInputStream.unread,Pushes back a portion of an array of bytes by copying it to the front  of the pushback buffer.
java.io.PushbackInputStream.unread,Pushes back a byte by copying it to the front of the pushback buffer.
java.io.PushbackReader.markSupported,"Tells whether this stream supports the mark() operation, which it does  not."
java.io.PushbackReader.unread,Pushes back an array of characters by copying it to the front of the  pushback buffer.
java.io.PushbackReader.unread,Pushes back a portion of an array of characters by copying it to the  front of the pushback buffer.
java.io.PushbackReader.unread,Pushes back a single character by copying it to the front of the  pushback buffer.
java.io.RandomAccessFile.close,Closes this random access file stream and releases any system  resources associated with the stream.
java.io.RandomAccessFile.getChannel,Returns the uniqueFileChannelobject associated with this file.
java.io.RandomAccessFile.getFD,Returns the opaque file descriptor object associated with this  stream.
java.io.RandomAccessFile.getFilePointer,Returns the current offset in this file.
java.io.RandomAccessFile.length,Returns the length of this file.
java.io.RandomAccessFile.read,Reads a byte of data from this file.
java.io.RandomAccessFile.read,Reads up tob.lengthbytes of data from this file  into an array of bytes.
java.io.RandomAccessFile.read,Reads up tolenbytes of data from this file into an  array of bytes.
java.io.RandomAccessFile.readBoolean,Reads abooleanfrom this file.
java.io.RandomAccessFile.readByte,Reads a signed eight-bit value from this file.
java.io.RandomAccessFile.readChar,Reads a character from this file.
java.io.RandomAccessFile.readDouble,Reads adoublefrom this file.
java.io.RandomAccessFile.readFloat,Reads afloatfrom this file.
java.io.RandomAccessFile.readFully,"Readsb.lengthbytes from this file into the byte  array, starting at the current file pointer."
java.io.RandomAccessFile.readFully,"Reads exactlylenbytes from this file into the byte  array, starting at the current file pointer."
java.io.RandomAccessFile.readInt,Reads a signed 32-bit integer from this file.
java.io.RandomAccessFile.readLine,Reads the next line of text from this file.
java.io.RandomAccessFile.readLong,Reads a signed 64-bit integer from this file.
java.io.RandomAccessFile.readShort,Reads a signed 16-bit number from this file.
java.io.RandomAccessFile.readUnsignedByte,Reads an unsigned eight-bit number from this file.
java.io.RandomAccessFile.readUnsignedShort,Reads an unsigned 16-bit number from this file.
java.io.RandomAccessFile.readUTF,Reads in a string from this file.
java.io.RandomAccessFile.seek,"Sets the file-pointer offset, measured from the beginning of this  file, at which the next read or write occurs."
java.io.RandomAccessFile.setLength,Sets the length of this file.
java.io.RandomAccessFile.skipBytes,Attempts to skip overnbytes of input discarding the  skipped bytes.
java.io.RandomAccessFile.write,"Writesb.lengthbytes from the specified byte array  to this file, starting at the current file pointer."
java.io.RandomAccessFile.write,Writeslenbytes from the specified byte array  starting at offsetoffto this file.
java.io.RandomAccessFile.write,Writes the specified byte to this file.
java.io.RandomAccessFile.writeBoolean,Writes abooleanto the file as a one-byte value.
java.io.RandomAccessFile.writeByte,Writes abyteto the file as a one-byte value.
java.io.RandomAccessFile.writeBytes,Writes the string to the file as a sequence of bytes.
java.io.RandomAccessFile.writeChar,"Writes acharto the file as a two-byte value, high  byte first."
java.io.RandomAccessFile.writeChars,Writes a string to the file as a sequence of characters.
java.io.RandomAccessFile.writeDouble,"Converts the double argument to alongusing thedoubleToLongBitsmethod in classDouble,  and then writes thatlongvalue to the file as an  eight-byte quantity, high byte first."
java.io.RandomAccessFile.writeFloat,"Converts the float argument to anintusing thefloatToIntBitsmethod in classFloat,  and then writes thatintvalue to the file as a  four-byte quantity, high byte first."
java.io.RandomAccessFile.writeInt,"Writes anintto the file as four bytes, high byte first."
java.io.RandomAccessFile.writeLong,"Writes alongto the file as eight bytes, high byte first."
java.io.RandomAccessFile.writeShort,"Writes ashortto the file as two bytes, high byte first."
java.io.RandomAccessFile.writeUTF,Writes a string to the file usingmodified UTF-8encoding in a machine-independent manner.
java.io.Reader.nullReader,Returns a newReaderthat reads no characters.
java.io.Reader.read,Reads characters into an array.
java.io.Reader.read,Attempts to read characters into the specified character buffer.
java.io.Reader.transferTo,Reads all characters from this reader and writes the characters to the  given writer in the order that they are read.
java.io.SequenceInputStream.available,Returns an estimate of the number of bytes that can be read (or  skipped over) from the current underlying input stream without  blocking by the next invocation of a method for the current  underlying input stream.
java.io.StreamTokenizer.commentChar,Specified that the character argument starts a single-line  comment.
java.io.StreamTokenizer.eolIsSignificant,Determines whether or not ends of line are treated as tokens.
java.io.StreamTokenizer.lineno,Return the current line number.
java.io.StreamTokenizer.lowerCaseMode,Determines whether or not word token are automatically lowercased.
java.io.StreamTokenizer.nextToken,Parses the next token from the input stream of this tokenizer.
java.io.StreamTokenizer.ordinaryChar,"Specifies that the character argument is ""ordinary""  in this tokenizer."
java.io.StreamTokenizer.ordinaryChars,"Specifies that all characterscin the rangelow <= c <= highare ""ordinary"" in this tokenizer."
java.io.StreamTokenizer.parseNumbers,Specifies that numbers should be parsed by this tokenizer.
java.io.StreamTokenizer.pushBack,"Causes the next call to thenextTokenmethod of this  tokenizer to return the current value in thettypefield, and not to modify the value in thenvalorsvalfield."
java.io.StreamTokenizer.quoteChar,Specifies that matching pairs of this character delimit string  constants in this tokenizer.
java.io.StreamTokenizer.resetSyntax,"Resets this tokenizer's syntax table so that all characters are  ""ordinary."""
java.io.StreamTokenizer.slashSlashComments,Determines whether or not the tokenizer recognizes C++-style comments.
java.io.StreamTokenizer.slashStarComments,Determines whether or not the tokenizer recognizes C-style comments.
java.io.StreamTokenizer.toString,Returns the string representation of the current stream token and  the line number it occurs on.
java.io.StreamTokenizer.whitespaceChars,Specifies that all characterscin the rangelow <= c <= highare white space characters.
java.io.StreamTokenizer.wordChars,Specifies that all characterscin the rangelow <= c <= highare word constituents.
java.io.StringReader.reset,"Resets the stream to the most recent mark, or to the beginning of the  string if it has never been marked."
